,year,GMSL,pop,popChangePercent,avgtemp
0,1880,-158.725,1416809798.0,0.0,15.009
1,1881,-153.058,1426105951.0,0.656,15.087
2,1882,-169.883,1435992787.0,0.693,15.057
3,1883,-164.592,1446462862.0,0.729,14.963
4,1884,-143.75,1457062768.0,0.733,14.833
5,1885,-145.242,1467848591.0,0.74,14.854
6,1886,-147.575,1478740907.0,0.742,14.835
7,1887,-153.2,1489787234.0,0.747,14.816
8,1888,-151.075,1500961169.0,0.75,14.994
9,1889,-149.5,1511911862.0,0.73,15.113
10,1890,-147.525,1522654654.0,0.711,14.841
11,1891,-149.183,1533153361.0,0.69,14.944
12,1892,-146.042,1543410007.0,0.669,14.882
13,1893,-141.3,1553428030.0,0.649,14.912
14,1894,-150.983,1563584183.0,0.654,14.915
15,1895,-139.183,1573891839.0,0.659,14.969
16,1896,-146.817,1584287814.0,0.661,15.091
17,1897,-141.608,1594829656.0,0.665,15.075
18,1898,-132.217,1605496623.0,0.669,14.887
19,1899,-124.742,1616821756.0,0.705,15.048
20,1900,-130.1,1628775536.0,0.739,15.144
21,1901,-130.533,1641373284.0,0.773,15.073
22,1902,-125.917,1654625117.0,0.807,14.958
23,1903,-117.85,1668528525.0,0.84,14.837
24,1904,-128.158,1682609448.0,0.844,14.81
25,1905,-133.733,1696872640.0,0.848,14.955
26,1906,-126.883,1711323017.0,0.852,15.032
27,1907,-128.275,1725984670.0,0.857,14.875
28,1908,-130.792,1740858432.0,0.862,14.838
29,1909,-126.308,1755138020.0,0.82,14.79
30,1910,-126.417,1768819742.0,0.78,14.819
31,1911,-118.058,1781818137.0,0.735,14.776
32,1912,-121.167,1794303639.0,0.701,14.877
33,1913,-119.392,1806191150.0,0.663,14.909
34,1914,-113.05,1818268983.0,0.669,15.076
35,1915,-105.183,1830483713.0,0.672,15.144
36,1916,-107.117,1842773015.0,0.671,14.901
37,1917,-111.633,1855150908.0,0.672,14.81
38,1918,-113.217,1868150304.0,0.701,14.96
39,1919,-111.592,1881960860.0,0.739,15.007
40,1920,-110.25,1896695382.0,0.783,15.026
41,1921,-108.233,1912087252.0,0.812,15.102
42,1922,-109.125,1928251610.0,0.845,15.012
43,1923,-107.942,1945105667.0,0.874,15.028
44,1924,-115.233,1962228944.0,0.88,15.039
45,1925,-113.192,1979624158.0,0.887,15.09
46,1926,-106.692,1997272443.0,0.891,15.241
47,1927,-107.758,2015175290.0,0.896,15.122
48,1928,-111.65,2033359756.0,0.902,15.132
49,1929,-110.283,2052225865.0,0.928,14.967
50,1930,-106.317,2071815120.0,0.955,15.172
51,1931,-106.7,2092140968.0,0.981,15.228
52,1932,-101.033,2113176883.0,1.005,15.188
53,1933,-96.692,2134883926.0,1.027,15.013
54,1934,-102.042,2156859958.0,1.029,15.144
55,1935,-96.467,2179111163.0,1.032,15.119
56,1936,-100.392,2201736175.0,1.038,15.166
57,1937,-94.692,2224706842.0,1.043,15.3
58,1938,-92.075,2248106586.0,1.052,15.293
59,1939,-86.875,2270656946.0,1.003,15.302
60,1940,-92.192,2291963292.0,0.938,15.372
61,1941,-79.992,2312084166.0,0.878,15.385
62,1942,-80.05,2331121500.0,0.823,15.325
63,1943,-80.0,2349001182.0,0.767,15.345
64,1944,-86.442,2366905856.0,0.762,15.449
65,1945,-83.633,2384659222.0,0.75,15.331
66,1946,-76.108,2402289644.0,0.739,15.263
67,1947,-72.942,2421280133.0,0.791,15.31
68,1948,-68.217,2441885925.0,0.851,15.261
69,1949,-69.5,2467909478.0,1.066,15.223
70,1950,-67.3,2493094915.0,1.021,15.14
71,1951,-57.833,2543130380.0,1.75,15.311
72,1952,-60.383,2590270899.0,1.85,15.363
73,1953,-55.967,2640278797.0,1.93,15.421
74,1954,-58.933,2691979339.0,1.96,15.231
75,1955,-57.975,2746072141.0,2.01,15.174
76,1956,-63.117,2801002631.0,2.0,15.106
77,1957,-49.683,2857866857.0,2.03,15.374
78,1958,-48.308,2916108097.0,2.04,15.382
79,1959,-48.017,2970292188.0,1.86,15.34
80,1960,-44.267,3019233434.0,1.65,15.292
81,1961,-38.092,3068370609.0,1.63,15.38
82,1962,-43.317,3126686743.0,1.9,15.326
83,1963,-44.925,3195779247.0,2.21,15.377
84,1964,-52.825,3267212338.0,2.24,15.117
85,1965,-41.542,3337111983.0,2.14,15.196
86,1966,-46.967,3406417036.0,2.08,15.265
87,1967,-45.608,3475448166.0,2.03,15.294
88,1968,-44.808,3546810808.0,2.05,15.264
89,1969,-38.0,3620655275.0,2.08,15.391
90,1970,-39.942,3695390336.0,2.06,15.333
91,1971,-34.725,3770163092.0,2.02,15.2
92,1972,-25.592,3844800885.0,1.98,15.293
93,1973,-31.592,3920251504.0,1.96,15.405
94,1974,-19.717,3995517077.0,1.92,15.168
95,1975,-21.275,4069437231.0,1.85,15.239
96,1976,-22.35,4142505882.0,1.8,15.131
97,1977,-23.967,4215772490.0,1.77,15.408
98,1978,-17.567,4289657708.0,1.75,15.301
99,1979,-22.533,4365582871.0,1.77,15.414
100,1980,-16.525,4444007706.0,1.8,15.492
101,1981,-4.075,4524627658.0,1.81,15.516
102,1982,-9.858,4607984871.0,1.84,15.342
103,1983,-1.467,4691884238.0,1.82,15.52
104,1984,-2.392,4775836074.0,1.79,15.344
105,1985,-12.683,4861730613.0,1.8,15.341
106,1986,-12.058,4950063339.0,1.82,15.384
107,1987,-11.458,5040984495.0,1.84,15.525
108,1988,-6.758,5132293974.0,1.81,15.556
109,1989,-2.317,5223704308.0,1.78,15.442
110,1990,0.008,5316175862.0,1.77,15.629
111,1991,2.508,5406245867.0,1.69,15.598
112,1992,3.167,5492686093.0,1.6,15.453
113,1993,1.417,5577433523.0,1.54,15.466
114,1994,6.575,5660727993.0,1.49,15.535
115,1995,9.525,5743219454.0,1.46,15.638
116,1996,13.667,5825145298.0,1.43,15.525
117,1997,20.558,5906481261.0,1.4,15.714
118,1998,10.667,5987312480.0,1.37,15.826
119,1999,19.225,6067758458.0,1.34,15.6
120,2000,20.483,6148898975.0,1.34,15.611
121,2001,25.983,6230746982.0,1.33,15.768
122,2002,28.358,6312407360.0,1.31,15.829
123,2003,37.608,6393898365.0,1.29,15.827
124,2004,37.183,6475751478.0,1.28,15.757
125,2005,37.292,6558176119.0,1.27,15.879
126,2006,41.567,6641416218.0,1.27,15.814
127,2007,43.483,6725948544.0,1.27,15.827
128,2008,52.2,6811597272.0,1.27,15.721
129,2009,58.017,6898305908.0,1.27,15.827
130,2010,65.75,6985603105.0,1.27,15.895
131,2011,67.3,7073125425.0,1.25,15.77
132,2012,76.083,7161697921.0,1.25,15.802
133,2013,67.725,7250593370.0,1.24,15.854
134,2014,30.078,7339013419.0,1.22,15.913
135,2015,40.897,7426597537.0,1.19,16.059
136,2016,43.278,7513474238.0,1.17,
137,2017,44.345,7599822404.0,1.15,
138,2018,48.611,7683789828.0,1.1,
139,2019,55.746,7764951032.0,1.06,
140,2020,56.42,7840952880.0,0.98,
141,2021,56.901,7909295151.0,0.87,
